"hopt_dist","hopt_edu","hopt_safe","hopt_nroom","hopt_fq","hopt_loc","hopt_price_rnorm","hopt_price"
4,1,4,3,4,2,1.20145883116531,314290.336765891
5,0,4,2,5,2,1.57741623657889,370628.609246332
1,1,1,1,5,5,0.431250921990695,231790.225555287
2,0,5,2,2,4,0.307867895259309,222974.171552037
3,0,3,1,2,5,0.470547319184172,227492.916243673
2,0,4,3,3,3,0.28190027061591,225000.688076763
4,1,4,1,3,1,-0.565501315399389,197814.535737735
5,1,3,1,2,2,-0.245065210988453,208439.364017481
3,0,4,1,2,5,0.325799479649093,220954.729782018
4,1,4,3,3,2,1.02958206151607,244394.859343124
4,0,2,1,3,4,0.512154518055952,229708.814412052
3,1,2,0,4,3,-0.47358786037879,198319.230154404
4,0,4,2,4,3,1.10456328904668,256933.542829138
3,0,1,0,3,4,-0.588750234474989,193956.707931628
5,0,3,3,2,2,0.275504260538149,220898.225306942
2,0,3,3,2,4,0.286766026796909,225899.841295247
5,1,3,2,4,3,1.97935565693788,392992.230154753
4,0,2,4,3,3,1.2637959007922,313516.798677738
2,0,2,1,4,3,-0.793214290898262,187210.179391143
2,0,1,2,3,2,-1.09899124746798,182087.025063184
4,1,1,2,3,3,0.0991090428962598,213660.609898705
4,0,1,0,2,2,-1.88055285723307,160287.398098297
4,0,3,1,2,3,-0.255311154826411,204320.280323678
4,0,4,0,5,4,1.41416945608568,278435.269605415
4,0,4,3,3,3,1.18071588978689,311435.371466963
2,0,4,3,4,3,0.488277772500799,231817.082215353
3,0,3,1,2,1,-1.82439991236668,171539.118779286
2,1,3,4,2,4,0.925173449496263,239204.758751499
4,0,3,2,5,4,1.72020190415383,345848.939707812
3,1,5,4,5,3,2.52461785786098,434244.404035862
3,0,4,2,2,1,-1.23161513576729,175890.426625802
1,1,4,2,4,3,-0.488783291200428,193278.857784241
3,1,4,1,5,2,0.530070159785328,231668.23235696
3,0,3,1,1,3,-0.601826238570169,195462.087832942
3,1,5,0,3,4,0.848844579497047,242623.51241571
3,0,4,3,3,5,2.13516092602775,429247.483569818
4,0,2,4,1,3,-0.0107511321223005,208417.624018465
4,0,2,1,4,2,0.132842130083279,216056.172570359
3,0,1,0,2,4,-1.55051567049111,168535.053190679
2,0,5,2,5,2,1.04976811087168,245787.658236322
4,0,3,0,3,3,-0.284508674308716,197002.594073621
3,0,2,3,5,2,0.589152371804169,234259.776977949
3,0,4,2,2,3,0.808263043270172,245644.349572594
5,0,3,4,3,4,2.30060319716658,395686.162058243
1,0,3,0,5,5,0.142547610292452,221749.977091044
2,0,3,2,4,2,-0.07556356477456,207475.939419413
4,0,3,1,3,1,-0.434357206309627,194889.791630276
2,1,5,2,5,4,1.95239088094144,420781.706967644
2,0,2,2,2,4,-0.196057779332208,203032.025749031
3,1,2,3,2,4,0.687857587064691,235824.656789018
4,0,2,1,3,1,-1.09746260516426,182638.917107871
4,1,4,3,3,3,1.64895142248434,326072.319971543
3,0,2,1,3,3,-0.175134261578404,204475.921652615
3,0,1,0,1,3,-2.41626820521965,150172.376674492
5,0,3,0,3,4,1.02224245735989,247580.801525507
3,1,3,2,2,3,0.231023827319702,217600.664888489
2,0,3,1,3,4,-0.0195659656177736,209288.418541622
4,0,2,0,2,2,-1.28923877254136,179650.119827989
2,0,3,0,4,5,0.833156940617669,240103.981622629
1,1,3,4,5,3,1.26285621875816,277055.433019446
1,0,2,3,3,2,-0.951125210080301,183761.395506568
2,0,1,1,5,2,-0.862368147023216,186365.084691307
2,0,1,1,2,5,-0.906627923699995,188819.72576513
5,0,2,2,2,1,-0.369770716631529,203125.545905903
5,0,3,0,1,3,-0.200594420637688,207354.742943088
4,0,4,3,4,1,0.186769895308158,221242.283589937
3,0,3,1,1,5,0.146587493207405,222821.801644078
3,0,3,3,2,3,0.212638557338276,220038.766289844
3,0,2,1,3,5,1.08267658018662,246855.340605421
4,0,3,4,2,1,-1.37731743830046,178857.104408064
1,1,3,3,4,4,0.924047289232324,242559.017654824
1,0,3,3,3,3,-0.504124306828995,194829.928732425
4,1,5,1,2,3,0.734297239028741,235744.299633681
3,0,2,3,3,3,0.264342172023416,222505.237176905
1,0,2,1,4,2,-2.01837726986659,118830.030214289
3,0,3,3,5,4,1.85360089791928,375699.8897049
5,1,3,3,3,2,1.07803821055478,253761.139328066
2,0,2,0,4,5,0.934632562672119,242586.054753873
3,0,1,1,2,5,-0.175913470723682,206465.195429575
1,0,2,4,2,5,0.985146554878658,244936.664237472
5,1,4,3,3,1,0.945256034392391,237606.653032959
3,0,3,1,2,3,0.0402008025399718,216894.014230534
4,0,4,1,1,2,-0.836708388292219,188516.893894621
2,0,2,3,4,4,-0.166012889239705,205113.210657389
1,0,3,0,4,3,-1.43178868284867,171618.017293469
4,0,4,1,2,4,0.583161253856635,233119.85653722
1,0,3,4,3,4,0.179306370242095,216793.291039474
4,0,3,1,3,2,-0.15464686968645,201551.5590186
3,0,4,2,2,3,0.164177170599287,216843.298402246
3,1,4,1,4,3,0.977299328373269,254739.692008034
3,0,5,1,2,1,-0.440631474303764,193285.08358473
2,1,5,2,3,3,0.423156637794519,227482.623538951
4,0,2,1,2,3,-0.767207321825001,188885.439153097
2,0,2,2,2,4,-0.630968950833717,189329.039570241
4,1,3,0,2,3,-0.597639671466948,195536.708174082
3,0,1,1,3,3,-0.486005662921241,195992.128595417
1,0,4,0,3,3,-1.8714892603116,145232.903659759
3,0,4,1,2,3,0.0227493739776184,213658.987318369
4,1,3,0,2,2,-0.502889532233053,198158.557776286
5,0,1,1,1,1,-1.83565824371273,169211.201898404
4,0,3,3,2,1,-1.04355477843555,182630.495616454
4,0,3,3,4,3,0.870782253433297,240375.019207091
4,1,2,0,3,5,0.74581476021898,234320.278336738
3,0,2,0,2,2,-2.22267599108718,150414.686084535
2,1,5,2,4,3,0.895366159091382,237933.111173898
4,1,2,1,4,3,1.00807640935336,245751.017202828
4,1,4,2,3,5,2.54320539559533,387791.265606447
3,0,3,1,4,2,-0.472549769629293,196913.71476083
2,0,4,3,2,2,-0.69576239661157,193074.734919151
5,0,1,0,2,4,-0.602071323595541,189973.319422614
5,1,4,2,2,5,1.94157838813746,390595.488179166
4,0,4,1,2,2,-0.219441510298307,207208.206951769
4,1,4,1,5,5,3.41277803623931,551399.831472095
3,1,3,1,3,4,0.821999369969137,240475.129331833
2,0,2,1,3,5,0.00695150393038897,217981.666828714
5,0,3,4,4,2,1.42542662574699,279637.430055904
4,0,5,2,4,2,1.34187523251759,300582.995629167
2,1,5,3,5,4,2.52512959323713,401132.468174521
3,1,4,3,5,4,2.10889928794412,432065.281412892
1,1,2,2,3,4,-0.630665229858962,194732.302579212
2,0,2,1,4,3,-0.812340306611534,188716.36004969
2,0,1,2,4,3,0.0252875964301556,217893.202209069
1,0,3,2,4,4,0.0640030501894973,211820.426830806
5,0,3,2,4,2,0.441060526705847,230408.04673583
2,0,3,2,1,1,-2.12054041131347,145571.668343988
2,0,4,3,4,2,0.654872172825743,230001.205180829
2,0,3,2,2,4,0.366204081710929,223160.337936645
3,0,3,1,2,4,0.342786830374235,222679.569443772
2,0,3,2,4,3,0.392709074642162,226057.987367155
4,0,1,1,4,1,-1.76406713830232,173026.112811709
5,1,4,1,1,1,-0.815695053792204,187769.738820852
2,1,1,2,2,4,-0.671618416977257,193968.168164078
4,0,4,4,4,4,1.98976742300467,400055.466805604
2,0,5,3,3,4,1.21408117501747,243433.014605422
1,0,4,0,1,3,-2.1966171986584,127127.630839412
2,0,3,3,4,4,1.05291330658984,246331.278212157
1,0,4,2,4,3,0.00593040780408153,213771.977304714
2,0,2,3,2,1,-1.21783603835014,176476.596303773
3,0,5,0,1,3,-0.84861784266069,187018.324524257
4,0,3,2,2,4,0.727987667476649,234208.68405142
2,0,2,3,2,3,-0.529577472151168,197471.29831434
4,1,4,2,4,3,1.659611892889,365625.067492341
2,0,3,1,2,1,-2.21454180230595,130736.932189394
2,1,3,4,3,4,1.54730462626805,365467.855197253
1,0,2,1,3,4,-0.863353349188206,186860.652867253
3,0,3,1,2,5,0.791554038453153,242752.711113037
2,0,1,1,3,3,-1.30004410177822,176974.380394727
4,0,2,1,4,1,-0.745777847758835,188749.735074659
3,0,2,1,1,4,-0.303336107862599,198540.921863178
5,0,3,2,2,1,-0.419625996205156,203366.713891717
3,1,4,3,3,2,0.817641965478955,238622.562147828
2,0,1,2,1,2,-2.44829254283002,119971.064625845
2,0,1,3,3,4,0.00270621680232998,216267.689948395
4,0,3,3,3,3,1.0364728315942,248401.968800543
3,1,4,3,5,3,1.29506178772803,247772.218436682
4,1,3,1,4,3,0.797487794435041,236570.323458215
2,0,2,2,2,4,-0.20134676375364,205920.253253606
4,0,1,0,1,2,-2.31026458282787,141487.816578107
3,1,3,4,3,3,1.06054775635071,257935.669375931
2,1,3,3,4,2,-0.243524148219382,205908.968540532
4,1,5,0,4,3,0.84783441286463,237902.376890279
5,0,1,0,1,2,-0.916537336511308,186890.350481062
1,0,2,2,4,3,-0.842270734810897,187299.276766105
5,0,1,1,1,2,-0.901329197018332,188916.654735675
2,0,3,2,4,2,-0.730964767449563,195748.866111709
4,0,4,1,2,2,-0.298954495912683,199365.374779939
2,0,3,2,3,3,-0.325350720439163,200539.288282558
3,0,1,3,2,3,-0.35215150462006,200509.49337039
3,0,5,1,3,2,0.691056118014602,234920.394904454
5,0,1,4,2,4,1.61239106114728,356748.659743999
3,0,3,2,1,3,-0.466124382440809,196833.391736584
3,0,1,1,2,3,-1.87517138809216,117702.557891751
3,0,1,0,1,5,-0.950627394264889,182340.445769202
4,0,3,1,3,2,0.0369080928203131,213040.9671212
3,0,3,1,3,1,-1.86228448587308,144998.153868551
3,0,2,2,3,3,0.44112456962794,228661.182866019
3,1,3,3,3,4,1.08754382863349,252968.64886881
4,1,3,2,3,4,1.47319162981723,370479.4931451
2,0,4,3,4,1,-0.828845023985269,187035.969356006
4,0,1,0,1,1,-1.97201359543873,135220.959279261
3,1,2,3,4,3,0.299653343813991,224546.297514718
4,0,3,1,2,3,-0.137555264322356,212478.995723681
3,0,1,1,4,2,-1.04889086739969,184538.933125537
3,0,2,1,4,2,-0.932001835259893,184930.945517039
4,1,4,2,5,4,2.07000978367888,392671.945975944
3,0,5,1,3,3,0.424507539621485,230028.042632969
2,0,3,4,3,2,0.0330891390565114,211526.860607512
4,0,1,0,1,3,-1.39833632034434,174226.688867016
2,0,3,1,4,2,-0.108265081125071,211304.216661628
3,0,4,1,3,4,-0.119781573744536,208174.277159777
2,0,3,2,4,3,-0.40474147616749,201369.86528943
5,0,4,1,4,2,1.1631880776671,250635.402400932
3,0,2,0,2,3,-1.28739537463108,179341.64896636
2,0,4,1,3,3,-0.06618601019128,212489.535281877
4,0,2,4,4,4,2.29708719396822,403210.243520249
3,0,3,0,1,5,-0.38203387930958,201628.556180547
3,0,2,0,3,4,-0.280711622691955,196900.573686251
3,1,3,0,4,4,0.243282569900232,217077.279116333
3,0,2,2,3,3,-0.519759315427306,197273.624041159
4,0,4,3,2,1,0.34520701355646,223385.259355722
3,0,2,1,1,1,-2.37160672268651,148640.289830269
4,0,3,0,4,2,-1.26475967838606,177360.8170108
4,1,4,2,5,3,1.64989144226615,352558.35203842
1,0,2,3,3,3,-1.44435906345861,174136.102032185
2,1,5,1,1,2,-0.65022258113641,193725.14062844
1,0,5,4,2,1,-0.482401374415365,193912.822308602
3,0,4,0,2,4,0.0550375797646624,212032.449148842
3,0,1,0,3,2,-1.97328638271693,148414.575345089
3,0,3,4,4,4,2.2757448668837,414134.164056937
4,0,3,1,2,1,-0.590779478628546,193270.544287331
4,1,4,0,3,2,-0.0524472921905317,212649.882640773
5,1,3,3,4,4,2.0363428310722,376154.889869461
2,0,4,0,4,2,-1.31045952337875,176465.323224533
3,0,2,0,3,4,-0.224905023581001,207652.131096018
2,0,4,0,4,4,0.236458928014431,222162.531898739
5,1,4,0,3,3,0.928966472436823,240704.009924321
3,0,2,3,5,3,1.09985482426054,252211.009619251
2,1,4,4,3,4,1.11410226659177,247626.110626006
2,0,4,3,4,1,-0.109907896418137,213068.855325776
2,0,1,1,2,5,-0.015084274508145,213075.990943092
2,0,3,2,3,2,-1.08345320641543,183621.418222819
3,1,3,1,4,3,-0.095260258099417,209657.27693699
2,1,4,1,3,1,-0.780124010870037,187425.533989075
4,0,4,1,4,3,0.149556715840304,218153.517500009
2,0,4,2,5,3,0.704807554436257,234322.776551654
3,0,2,2,2,4,-0.0218603914599402,206835.411437317
4,0,3,2,4,3,1.19626404432054,258559.656316437
2,0,2,1,3,4,0.236534150348295,222387.903246227
4,1,3,2,4,3,0.94335306703107,241896.125246968
4,1,4,0,4,4,0.98197940558986,257588.687096494
2,1,3,3,4,3,0.518285911327872,227752.139303942
4,1,5,4,4,1,1.7372520633152,337837.137376185
3,0,3,1,3,5,1.21078829495289,310173.522612362
4,0,2,1,3,2,-0.799217224722478,185650.746339689
2,0,2,1,3,5,-0.00235420976971786,212222.199559284
2,0,2,2,3,2,-1.05098603889714,181771.384688665
1,1,3,1,3,2,-1.55947160503048,171940.372350044
2,1,5,2,2,2,0.335070817565422,225749.820419118
3,0,3,3,2,5,1.0926128358474,249069.071168532
3,0,4,0,3,2,-0.748382373005325,187133.421337964
4,1,5,1,3,4,1.32582499421805,314327.021465439
4,0,3,0,2,2,-0.449043707844636,195198.531608453
2,0,3,3,3,5,1.00212215923616,257449.378690689
2,0,2,2,3,1,-1.83458152982885,169340.504887418
2,1,4,0,1,4,-0.550128561640431,193787.688925156
4,1,5,4,3,3,2.0636845768328,396200.318291047
1,0,2,3,3,4,0.0444180088227515,212415.43015593
3,0,3,1,2,2,-1.19522553498302,175924.487472455
2,0,2,0,3,2,-1.5654553870537,171607.483248877
2,0,3,3,3,1,-1.14570473188063,180264.277422883
2,0,2,1,2,2,-1.66083645877215,169000.562095044
2,0,3,1,2,4,-0.383897794749018,200060.038103041
2,0,1,1,4,4,-0.899269765808553,188554.780776604
1,0,2,1,3,2,-1.63845362962292,168434.369028751
2,0,2,3,4,3,0.248717174584958,218032.651823782
4,0,1,3,5,2,0.908349998421103,244132.855170904
1,0,4,2,2,2,-0.741587084071011,185383.692085752
4,0,4,2,1,2,-0.442248025334626,196891.89646564
3,0,5,3,4,2,1.06941873782495,243063.210419251
2,0,3,2,3,2,-0.807123273542061,185382.17921576
5,1,4,2,2,2,0.90595574386943,242871.778484433
4,0,1,4,5,5,2.37221472100367,425042.242012232
3,1,4,4,2,4,1.32601978364068,266974.370849938
4,0,1,1,2,2,-0.727932115445644,193424.25530643
2,1,1,3,4,3,-0.277156526118702,202906.208247253
3,0,1,1,3,3,-0.779979577412283,185572.467589761
3,1,4,1,4,3,0.760141452555747,235758.584330443
3,0,2,1,2,1,-1.9178674389192,121922.917655611
3,1,3,4,3,3,1.20439257447884,276370.635538182
1,0,2,3,3,1,-2.17611886155115,144618.409252226
4,1,3,2,4,3,0.886844358950096,244289.281411763
4,0,5,3,2,5,2.58728886086536,460291.100114556
3,0,4,0,3,5,0.463305532879918,230618.938242496
2,0,5,4,4,3,1.50848979232992,358190.353705354
1,1,2,2,2,2,-1.81518282459962,169608.481683992
1,0,4,2,5,3,-0.174004827034761,208181.440168228
3,0,4,1,2,3,0.29895776874742,226787.862075779
4,0,4,4,4,1,0.146930887497985,219924.494111765
4,0,4,2,3,3,0.798030940890672,236080.016822479
2,0,2,1,3,2,-1.75660503919348,171996.448502994
3,0,2,2,3,2,-0.301311356728818,199220.876878159
2,0,1,1,3,5,-0.477018864733223,198628.306605626
1,0,2,1,4,2,-1.37158113148768,177863.785874537
3,0,3,1,2,2,-0.629271748116888,194299.879232932
4,0,2,2,2,2,-0.274429796759414,206200.990709201
3,0,3,0,3,3,-0.657697506582493,192452.996017776
4,0,1,0,1,1,-3.48913690403654,148086.621376029
3,0,1,2,2,4,-0.107330077433682,210274.499621352
3,0,3,0,2,5,0.241397433059389,220200.196479814
5,0,4,3,2,2,0.751268093906887,236789.601280428
3,1,4,3,4,2,0.887498778433461,241844.244847934
3,0,2,3,2,5,1.08396172962475,243582.481411649
2,0,3,1,3,3,-0.654725525255631,191367.139689447
3,0,3,2,1,3,-0.403412541057309,197074.913033498
2,0,2,4,2,2,-0.820361810317137,187057.17495923
4,0,4,1,5,4,1.17833166686624,274306.58007983
2,1,3,2,4,4,0.85298211652608,238788.32458058
3,0,3,0,3,3,-0.282672497978289,199944.021412664
1,0,2,4,5,1,-1.72305498027979,167876.516180044
3,1,2,2,2,4,0.0441084421044759,211487.580538159
4,0,2,1,4,3,0.32718290101339,226328.769008412
2,0,5,4,4,4,2.43835900165913,416834.794296092
3,0,3,2,2,5,0.834350736188953,237927.498157852
3,1,2,1,1,4,-0.653285070645639,194792.359627667
3,0,3,1,3,3,-0.526588352940812,196401.572486065
5,0,3,3,4,1,-0.000818430469445387,217945.599111292
3,0,1,1,4,4,-0.425595856327987,199144.294784233
3,0,4,2,3,1,-0.603634875053761,193548.727671616
1,0,4,1,2,3,-0.993058323954707,180506.362498447
4,0,3,3,5,4,1.43894985677268,324369.653514139
1,0,3,4,4,4,0.543396052665415,231398.947539808
2,0,3,0,3,2,-1.15137865640628,174808.212465745
5,0,2,2,3,2,0.772350679578195,235549.715482761
2,0,3,0,1,2,-2.35446621981758,160568.714395513
3,0,3,1,3,2,-0.41046974180131,199719.590447947
4,1,2,1,2,3,0.13433455595367,222834.224994405
1,0,4,2,2,4,0.156839813027738,217083.127708153
3,0,3,4,5,3,1.86176426228215,431361.257821973
2,0,3,4,4,3,0.76300052368337,243340.816073794
4,0,2,1,3,1,-0.852695128032177,186077.801586809
3,0,3,3,3,4,1.05369956683137,256707.442500515
2,0,3,3,4,3,0.347062128921754,224716.669878359
3,0,3,3,3,4,1.49531340769756,318830.044096776
4,0,4,2,5,3,1.62146148816225,362168.165217824
3,0,3,0,2,1,-2.9794579904366,136795.600449119
3,0,1,0,3,2,-1.74400051089468,166781.905214611
4,0,4,1,3,5,2.34822445193679,385490.59361264
3,1,1,1,3,2,-1.25898288586334,178725.645269738
3,0,2,1,4,4,0.381146813623936,222689.074629715
2,0,2,1,2,2,-1.65276218405035,169144.12627125
5,1,3,1,3,2,0.559509050374806,228507.058470429
4,0,2,0,1,3,-1.30847165534464,176232.054608116
3,0,2,3,3,1,-1.03018170387698,183022.076722022
2,0,1,2,2,4,-0.601002546494179,191008.872622945
3,1,5,1,4,2,0.555317190191542,231576.792011745
2,0,5,4,5,4,2.19066231515125,381438.470976415
4,0,2,1,2,5,0.21222712891517,218765.255042664
3,0,5,0,3,2,0.106818852898889,211789.616024609
4,0,3,1,4,1,-0.0938012880091465,210442.682433189
2,0,3,3,4,3,0.412720415317405,226123.27634097
4,0,1,0,5,2,-1.2573842561691,175432.423978964
3,1,3,3,3,3,0.798226352251195,239822.415672187
3,1,2,1,3,3,-0.429883296062495,193751.714358443
3,0,3,1,2,1,-2.33986675010415,127638.749351743
4,0,3,0,1,2,-1.49764221229645,169831.127061201
4,1,3,3,3,2,1.00250102290601,252612.517132591
4,0,3,2,3,2,-0.18226248521608,207363.627319867
2,0,3,0,2,3,-1.62945776339084,169416.786104013
2,0,4,4,3,4,1.329460624967,262620.03128677
2,0,2,3,2,4,0.270775300455402,217511.619493234
1,0,2,2,4,4,0.162751509959629,218913.435253239
1,1,4,0,2,5,-0.222869185741939,207602.592773996
1,0,5,1,5,2,0.331517344553126,220802.959123243
3,1,2,1,2,3,-0.371821102662037,200347.219382195
2,0,1,0,3,3,-2.18593780338575,150505.36335094
3,0,3,3,3,3,0.462387025883165,230515.779156302
3,0,3,3,2,3,0.103750736863817,214574.008976018
4,0,3,1,3,4,0.353404729980773,223942.367130634
4,1,5,3,4,2,1.5356626576377,363388.111871943
2,0,1,1,2,3,-1.52935374307974,169746.169798813
1,1,4,3,3,3,0.0928084147093524,213898.565457889
4,1,3,1,2,3,0.0943447171719876,213108.57528885
5,1,4,1,3,3,1.41708002197983,301643.300655
3,0,1,0,2,1,-3.36369533261517,151773.807018692
2,0,2,1,3,5,-0.1396783193156,209120.983700314
2,0,4,2,3,4,1.03173279729572,255110.353715585
3,0,3,1,3,2,-0.47832915734788,196516.952013131
3,0,3,1,4,2,-0.535688036767842,194310.444795579
3,0,4,1,2,3,-0.520632522120336,197779.558532916
4,1,4,1,3,2,-0.267863928579339,204661.042095077
2,0,3,1,3,2,-1.08614634412516,184013.748290293
3,1,5,4,4,2,1.87043450195715,392091.10496679
4,1,3,2,3,3,0.814893153857774,244043.287695223
5,1,3,1,2,4,1.56643993167636,332174.063956652
2,0,2,2,4,2,-0.794451076256391,188270.730768057
3,0,3,1,2,3,-0.322213317396666,202549.412723359
3,0,2,0,3,3,-0.773029705632643,187317.381673736
1,0,1,1,2,5,-1.23302310952128,177977.632402153
3,0,1,0,5,4,-0.184715161040057,208218.857002565
2,0,2,1,3,3,-0.794850376069486,185292.698486795
4,0,5,0,2,1,-1.13729936499443,180084.076214813
5,0,3,0,3,3,-0.346965173093094,202918.513078793
2,0,3,1,3,2,-0.801115319106411,187724.681852158
1,0,3,0,4,4,-0.655388355184376,193479.483235059
2,0,3,4,5,4,1.56442914388994,365242.052173688
4,0,4,4,5,1,0.0608361830113015,214455.875631117
3,0,3,3,1,2,-0.177910804873291,209092.972620778
4,1,4,4,3,3,1.57306447399412,318894.455519671
2,0,4,2,4,4,1.51015301422882,319668.651861716
3,0,4,3,4,1,0.0428218602666863,212219.756542006
3,0,3,0,3,3,-0.783977178317441,187313.37272859
3,1,4,3,3,4,1.21424443065548,237788.588935363
3,0,2,0,1,4,-1.199670076058,180339.891701608
4,0,1,1,2,1,-2.20037274457671,144774.670543881
4,0,2,4,5,4,2.17801779758751,394054.914550821
3,0,1,0,3,4,-1.25697995537957,178823.763467658
3,1,4,4,2,5,2.05725997771066,400877.737346567
3,1,3,1,3,4,0.840259137669778,245480.651977769
4,0,2,1,3,4,-0.0752483839499849,212220.689525745
4,1,3,3,4,4,2.12737882552115,394908.709253003
3,0,1,0,3,1,-2.33269749084441,148511.916377382
3,0,3,2,2,2,-1.00184252014734,181583.453522491
2,0,2,0,2,3,-2.00904754342013,153546.240423268
3,0,4,1,3,3,-0.15837300245133,208278.215202484
1,1,5,1,5,3,0.154564894045861,221017.121681754
2,0,3,0,1,5,-0.911429668934598,187825.592063
4,0,2,1,4,4,1.07645567662179,248004.779039123
4,0,2,0,2,2,-1.45219993311635,165141.627384654
2,0,2,3,3,2,-0.51908510582006,197399.116352548
2,0,4,1,1,5,-0.434166822752579,194284.958089628
3,0,3,1,1,4,-0.485623422229672,192656.989905934
2,0,3,4,5,4,1.34119148005957,248870.896297143
5,0,1,0,1,3,-0.591166792989668,190417.60985056
1,1,5,3,4,4,0.911056682874913,236307.940956373
3,0,1,1,2,2,-1.96629569668449,121905.016793036
3,1,4,3,3,2,0.577579786505466,233035.161720906
4,0,3,0,3,4,0.80476932542994,236045.609771036
4,1,3,1,3,4,0.65497286955637,236791.290025399
2,1,5,2,2,1,-0.790724232510363,187041.901990685
2,0,4,3,3,4,0.601791819246846,231688.9487185
4,0,4,3,5,1,0.929228678887733,236045.94802767
5,1,2,2,4,2,1.71185168198258,359787.294802258
3,0,3,1,3,4,0.700928530793436,235605.018210017
4,0,1,1,1,5,0.637226674305015,230055.987229195
3,0,2,1,3,4,0.468462869975713,231605.451902298
3,0,4,2,3,2,-0.358174963127748,201301.034117662
2,0,3,2,2,4,0.222957747480997,218375.21195812
5,0,1,2,1,1,-1.10966445644212,183306.476153172
4,0,4,0,4,1,-0.817818217678604,186179.192070409
3,0,3,3,4,1,-0.6684800159541,193101.003328281
3,0,3,2,2,4,0.445812496475025,230579.472784104
3,1,2,1,3,1,-1.36164995696173,177031.008754075
4,0,4,2,3,2,-0.183983034796244,206321.682375382
